model,instrument_type,instrument,quandl_id
EQUITY_TREND_PSA,PSA,STOCK,YAHOO/PSA
EQUITY_TREND_PHM,PHM,STOCK,YAHOO/PHM
EQUITY_TREND_PVH,PVH,STOCK,YAHOO/PVH
EQUITY_TREND_QRVO,QRVO,STOCK,YAHOO/QRVO
EQUITY_TREND_PWR,PWR,STOCK,YAHOO/PWR
EQUITY_TREND_QCOM,QCOM,STOCK,YAHOO/QCOM
EQUITY_TREND_DGX,DGX,STOCK,YAHOO/DGX
EQUITY_TREND_RRC,RRC,STOCK,YAHOO/RRC
EQUITY_TREND_RTN,RTN,STOCK,YAHOO/RTN
EQUITY_TREND_O,O,STOCK,YAHOO/O
EQUITY_TREND_RHT,RHT,STOCK,YAHOO/RHT
EQUITY_TREND_REGN,REGN,STOCK,YAHOO/REGN
EQUITY_TREND_RF,RF,STOCK,YAHOO/RF
EQUITY_TREND_RSG,RSG,STOCK,YAHOO/RSG
EQUITY_TREND_RAI,RAI,STOCK,YAHOO/RAI
EQUITY_TREND_RHI,RHI,STOCK,YAHOO/RHI
EQUITY_TREND_ROK,ROK,STOCK,YAHOO/ROK
EQUITY_TREND_COL,COL,STOCK,YAHOO/COL
EQUITY_TREND_ROP,ROP,STOCK,YAHOO/ROP
EQUITY_TREND_ROST,ROST,STOCK,YAHOO/ROST
EQUITY_TREND_RCL,RCL,STOCK,YAHOO/RCL
EQUITY_TREND_R,R,STOCK,YAHOO/R
EQUITY_TREND_CRM,CRM,STOCK,YAHOO/CRM
EQUITY_TREND_SNDK,SNDK,STOCK,YAHOO/SNDK
EQUITY_TREND_SCG,SCG,STOCK,YAHOO/SCG
EQUITY_TREND_SLB,SLB,STOCK,YAHOO/SLB
EQUITY_TREND_SNI,SNI,STOCK,YAHOO/SNI
EQUITY_TREND_STX,STX,STOCK,YAHOO/STX
EQUITY_TREND_SEE,SEE,STOCK,YAHOO/SEE
EQUITY_TREND_SRE,SRE,STOCK,YAHOO/SRE
EQUITY_TREND_SHW,SHW,STOCK,YAHOO/SHW
EQUITY_TREND_SIG,SIG,STOCK,YAHOO/SIG
EQUITY_TREND_SPG,SPG,STOCK,YAHOO/SPG
EQUITY_TREND_SWKS,SWKS,STOCK,YAHOO/SWKS
EQUITY_TREND_SLG,SLG,STOCK,YAHOO/SLG
EQUITY_TREND_SJM,SJM,STOCK,YAHOO/SJM
EQUITY_TREND_SNA,SNA,STOCK,YAHOO/SNA
EQUITY_TREND_SO,SO,STOCK,YAHOO/SO
EQUITY_TREND_LUV,LUV,STOCK,YAHOO/LUV
EQUITY_TREND_SWN,SWN,STOCK,YAHOO/SWN
EQUITY_TREND_SE,SE,STOCK,YAHOO/SE
EQUITY_TREND_STJ,STJ,STOCK,YAHOO/STJ
EQUITY_TREND_SWK,SWK,STOCK,YAHOO/SWK
EQUITY_TREND_SPLS,SPLS,STOCK,YAHOO/SPLS
EQUITY_TREND_SBUX,SBUX,STOCK,YAHOO/SBUX
EQUITY_TREND_HOT,HOT,STOCK,YAHOO/HOT
EQUITY_TREND_STT,STT,STOCK,YAHOO/STT
